Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId
Kage Light Battle Armor [ECM] (Sqd5),Kage Light Battle Armor,[ECM] (Sqd5),Scout,15,153,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR5,LECM,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8549
Kage Light Battle Armor [ECM] (Sqd6),Kage Light Battle Armor,[ECM] (Sqd6),Scout,15,196,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR6,LECM,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8913
Kage Light Battle Armor [Flamer] (Sqd4),Kage Light Battle Armor,[Flamer] (Sqd4),Scout,14,117,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,1734
Kage Light Battle Armor [Flamer] (Sqd5),Kage Light Battle Armor,[Flamer] (Sqd5),Scout,14,148,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8550
Kage Light Battle Armor [Flamer] (Sqd6),Kage Light Battle Armor,[Flamer] (Sqd6),Scout,14,189,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8914
Kage Light Battle Armor [Laser] (Sqd4),Kage Light Battle Armor,[Laser] (Sqd4),Scout,14,126,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,1735
Kage Light Battle Armor [Laser] (Sqd5),Kage Light Battle Armor,[Laser] (Sqd5),Scout,14,153,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8551
Kage Light Battle Armor [Laser] (Sqd6),Kage Light Battle Armor,[Laser] (Sqd6),Scout,15,194,BA,1,0.75,"8""j",1,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8915
Kage Light Battle Armor [MG] (Sqd4),Kage Light Battle Armor,[MG] (Sqd4),Scout,14,117,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,1736
Kage Light Battle Armor [MG] (Sqd5),Kage Light Battle Armor,[MG] (Sqd5),Scout,14,148,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8552
Kage Light Battle Armor [MG] (Sqd6),Kage Light Battle Armor,[MG] (Sqd6),Scout,14,189,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8916
Kage Light Battle Armor [TAG] (Sqd4),Kage Light Battle Armor,[TAG] (Sqd4),Scout,14,105,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR4,LTAG,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,1737
Kage Light Battle Armor [TAG] (Sqd5),Kage Light Battle Armor,[TAG] (Sqd5),Scout,14,142,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR5,LTAG,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8553
Kage Light Battle Armor [TAG] (Sqd6),Kage Light Battle Armor,[TAG] (Sqd6),Scout,14,182,BA,1,0.75,"8""j",0,0,0,0,1,2,"AM,CAR6,LTAG,MEC,STL",https://i.ibb.co/6n835v6/kage-3058u.png,8917
Kage Light Battle Armor C (Sqd4),Kage Light Battle Armor C,(Sqd4),Ambusher,15,133,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR4,C3S,MAS,MEC,MHQ1",https://i.ibb.co/6n835v6/kage-3058u.png,1738
Kage Light Battle Armor C (Sqd5),Kage Light Battle Armor C,(Sqd5),Ambusher,15,179,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR5,C3S,MAS,MEC,MHQ1",https://i.ibb.co/6n835v6/kage-3058u.png,8554
Kage Light Battle Armor C (Sqd6),Kage Light Battle Armor C,(Sqd6),Ambusher,15,230,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR6,C3S,MAS,MEC,MHQ1",https://i.ibb.co/6n835v6/kage-3058u.png,8918
Kishi Battle Armor (Sqd4),Kishi Battle Armor,(Sqd4),Scout,10,197,BA,1,0.75,"8""f",2,0,0,0,1,2,"AM,CAR4,MEC,RFA",https://i.ibb.co/tqX0SPC/kishi-3145.png,6363
Kishi Battle Armor (Sqd5),Kishi Battle Armor,(Sqd5),Scout,10,265,BA,1,0.75,"8""f",2,0,0,0,1,2,"AM,CAR5,MEC,RFA",https://i.ibb.co/tqX0SPC/kishi-3145.png,8736
Kishi Battle Armor (Sqd6),Kishi Battle Armor,(Sqd6),Scout,10,341,BA,1,0.75,"8""f",2,0,0,0,1,2,"AM,CAR6,MEC,RFA",https://i.ibb.co/tqX0SPC/kishi-3145.png,9099
Kobold Battle Armor [MicroGL/Flamer] (Sqd4),Kobold Battle Armor,[MicroGL/Flamer] (Sqd4),Ambusher,14,118,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,4454
Kobold Battle Armor [MicroGL/Flamer] (Sqd5),Kobold Battle Armor,[MicroGL/Flamer] (Sqd5),Ambusher,14,158,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8639
Kobold Battle Armor [MicroGL/Flamer] (Sqd6),Kobold Battle Armor,[MicroGL/Flamer] (Sqd6),Ambusher,14,202,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9003
Kobold Battle Armor [MicroGL/SPL] (Sqd4),Kobold Battle Armor,[MicroGL/SPL] (Sqd4),Ambusher,14,125,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,4455
Kobold Battle Armor [MicroGL/SPL] (Sqd5),Kobold Battle Armor,[MicroGL/SPL] (Sqd5),Ambusher,14,165,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8640
Kobold Battle Armor [MicroGL/SPL] (Sqd6),Kobold Battle Armor,[MicroGL/SPL] (Sqd6),Ambusher,15,210,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9004
Kobold Battle Armor [MicroGL/TAG] (Sqd4),Kobold Battle Armor,[MicroGL/TAG] (Sqd4),Ambusher,15,113,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR4,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,4456
Kobold Battle Armor [MicroGL/TAG] (Sqd5),Kobold Battle Armor,[MicroGL/TAG] (Sqd5),Ambusher,15,153,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR5,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8641
Kobold Battle Armor [MicroGL/TAG] (Sqd6),Kobold Battle Armor,[MicroGL/TAG] (Sqd6),Ambusher,15,196,BA,1,0.75,"6""j",1,0,0,0,1,2,"AM,CAR6,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9005
Kobold Battle Armor [SL/Flamer] (Sqd4),Kobold Battle Armor,[SL/Flamer] (Sqd4),Ambusher,15,182,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR4,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,4457
Kobold Battle Armor [SL/Flamer] (Sqd5),Kobold Battle Armor,[SL/Flamer] (Sqd5),Ambusher,15,244,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8642
Kobold Battle Armor [SL/Flamer] (Sqd6),Kobold Battle Armor,[SL/Flamer] (Sqd6),Ambusher,15,313,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9006
Kobold Battle Armor [SL/TAG] (Sqd4),Kobold Battle Armor,[SL/TAG] (Sqd4),Ambusher,16,177,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR4,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,4458
Kobold Battle Armor [SL/TAG] (Sqd5),Kobold Battle Armor,[SL/TAG] (Sqd5),Ambusher,16,239,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR5,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8643
Kobold Battle Armor [SL/TAG] (Sqd6),Kobold Battle Armor,[SL/TAG] (Sqd6),Ambusher,16,307,BA,1,0.75,"6""j",2,0,0,0,1,2,"AM,CAR6,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9007
Kobold Battle Armor IIC (Sqd4),Kobold Battle Armor IIC,(Sqd4),Scout,18,186,BA,1,0.75,"12""v",1,0,0,0,1,2,"AM,ATMO,CAR4,LECM,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,6728
Kobold Battle Armor IIC (Sqd5),Kobold Battle Armor IIC,(Sqd5),Scout,18,251,BA,1,0.75,"12""v",1,0,0,0,1,2,"AM,ATMO,CAR5,LECM,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8783
Kobold Battle Armor IIC (Sqd6),Kobold Battle Armor IIC,(Sqd6),Scout,18,323,BA,1,0.75,"12""v",1,0,0,0,1,2,"AM,ATMO,CAR6,LECM,LTAG,MEC,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9146
Kobold Battle Armor X-C3 (Sqd4),Kobold Battle Armor X-C3,(Sqd4),Ambusher,16,86,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR4,C3I,MEC,MHQ2,STL",https://i.ibb.co/TB9z752/kobold-3075.png,5561
Kobold Battle Armor X-C3 (Sqd5),Kobold Battle Armor X-C3,(Sqd5),Ambusher,16,116,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR5,C3I,MEC,MHQ2,STL",https://i.ibb.co/TB9z752/kobold-3075.png,8707
Kobold Battle Armor X-C3 (Sqd6),Kobold Battle Armor X-C3,(Sqd6),Ambusher,16,149,BA,1,0.75,"6""j",0,0,0,0,1,2,"AM,CAR6,C3I,MEC,MHQ2,STL",https://i.ibb.co/TB9z752/kobold-3075.png,9071
Sea Fox Amphibious Armor (Sqd4),Sea Fox Amphibious Armor,(Sqd4),Ambusher,13,130,BA,1,0.75,"6""f/6""s",1,0,0,0,1,2,"AM,CAR4,MEC,STL,UMU",https://i.ibb.co/gtWc3cP/sea-fox-3150.png,6308
Sea Fox Amphibious Armor (Sqd5),Sea Fox Amphibious Armor,(Sqd5),Ambusher,13,175,BA,1,0.75,"6""f/6""s",1,0,0,0,1,2,"AM,CAR5,MEC,STL",https://i.ibb.co/gtWc3cP/sea-fox-3150.png,8733
Sea Fox Amphibious Armor (Sqd6),Sea Fox Amphibious Armor,(Sqd6),Ambusher,14,226,BA,1,0.75,"6""f/6""s",1,1,0,0,1,2,"AM,CAR6,MEC,STL",https://i.ibb.co/gtWc3cP/sea-fox-3150.png,9096
Spectre Stealth Battle Armor (Sqd4),Spectre Stealth Battle Armor,(Sqd4),Scout,13,198,BA,1,0.75,"8""f",0,0,0,0,1,2,"AM,CAR4,STL,XMEC",https://i.ibb.co/kqk9DyR/spectre-3150.png,6523
Spectre Stealth Battle Armor (Sqd5),Spectre Stealth Battle Armor,(Sqd5),Scout,13,267,BA,1,0.75,"8""f",0,0,0,0,1,2,"AM,CAR5,STL,XMEC",https://i.ibb.co/kqk9DyR/spectre-3150.png,8761
Spectre Stealth Battle Armor (Sqd6),Spectre Stealth Battle Armor,(Sqd6),Scout,14,343,BA,1,0.75,"8""f",1,0,0,0,1,2,"AM,CAR6,STL,XMEC",https://i.ibb.co/kqk9DyR/spectre-3150.png,9124
Sylph Battle Armor (Sqd4),Sylph Battle Armor,(Sqd4),Scout,16,280,BA,1,0.75,"10""v",2,0,0,0,1,2,"AM,ATMO,BOMB1,CAR4,MEC",https://i.ibb.co/zP8FmCG/sylph-3058u.png,3146
Sylph Battle Armor (Sqd5),Sylph Battle Armor,(Sqd5),Scout,16,377,BA,1,0.75,"10""v",2,0,0,0,1,2,"AM,ATMO,BOMB1,CAR5,MEC",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8587
Sylph Battle Armor (Sqd6),Sylph Battle Armor,(Sqd6),Scout,16,485,BA,1,0.75,"10""v",2,0,0,0,1,2,"AM,ATMO,BOMB1,CAR6,MEC",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8951
Sylph Battle Armor (Upgrade) (Sqd4),Sylph Battle Armor,(Upgrade) (Sqd4),Scout,15,213,BA,1,0.75,"10""v",2,0,0,0,1,2,"AM,ATMO,CAR4,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,3147
Sylph Battle Armor (Upgrade) (Sqd5),Sylph Battle Armor,(Upgrade) (Sqd5),Scout,15,286,BA,1,0.75,"10""v",2,0,0,0,1,2,"AM,ATMO,CAR5,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8588
Sylph Battle Armor (Upgrade) (Sqd6),Sylph Battle Armor,(Upgrade) (Sqd6),Scout,16,368,BA,1,0.75,"10""v",3,0,0,0,1,2,"AM,ATMO,CAR6,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8952
Sylph Battle Armor XR (Sqd4),Sylph Battle Armor,XR (Sqd4),Scout,16,195,BA,1,0.75,"10""f",1,1,0,0,1,2,"AM,CAR4,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,5170
Sylph Battle Armor XR (Sqd5),Sylph Battle Armor,XR (Sqd5),Scout,16,263,BA,1,0.75,"10""f",1,1,0,0,1,2,"AM,CAR5,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8677
Sylph Battle Armor XR (Sqd6),Sylph Battle Armor,XR (Sqd6),Scout,16,338,BA,1,0.75,"10""f",1,1,0,0,1,2,"AM,CAR6,MEC,SRCH",https://i.ibb.co/zP8FmCG/sylph-3058u.png,9041
"Sylph Battle Armor ""Tinkerbelle"" (Sqd4)",Sylph Battle Armor,"""Tinkerbelle"" (Sqd4)",Scout,16,271,BA,1,0.8,"10""v",1,0,0,0,1,2,"AM,ATMO,CAR4,MEC",https://i.ibb.co/zP8FmCG/sylph-3058u.png,8384
Sylph Battle Armor (Enhanced) (Sqd4),Sylph Battle Armor,(Enhanced) (Sqd4),Scout,13,164,BA,1,0.8,"10""f",1,0,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/Hg5F7ZH/sylph-proto.png,5171
Sylph Battle Armor (Enhanced) (Sqd5),Sylph Battle Armor,(Enhanced) (Sqd5),Scout,13,221,BA,1,0.8,"10""f",1,0,0,0,1,2,"AM,CAR5,MEC",https://i.ibb.co/Hg5F7ZH/sylph-proto.png,8678
Sylph Battle Armor (Enhanced) (Sqd6),Sylph Battle Armor,(Enhanced) (Sqd6),Scout,14,284,BA,1,0.8,"10""f",2,0,0,0,1,2,"AM,CAR6,MEC",https://i.ibb.co/Hg5F7ZH/sylph-proto.png,9042
Aegis Point Defense Suit (Sqd4),Aegis Point Defense Suit,(Sqd4),Scout,13,179,BA,1,1,"6""f",0,0,0,0,1,2,"AM,CAR4,MEC,RAMS,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,7388
Aegis Point Defense Suit (Sqd5),Aegis Point Defense Suit,(Sqd5),Scout,13,242,BA,1,1,"6""f",0,0,0,0,1,2,"AM,CAR5,MEC,RAMS,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,8829
Aegis Point Defense Suit (Sqd6),Aegis Point Defense Suit,(Sqd6),Scout,13,311,BA,1,1,"6""f",0,0,0,0,1,2,"AM,CAR6,MEC,RAMS,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,9192
Afreet Medium Battle Armor (Hell's Horses) (Sqd4),Afreet Medium Battle Armor,(Hell's Horses) (Sqd4),Scout,15,164,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,3677
Afreet Medium Battle Armor (Hell's Horses) (Sqd5),Afreet Medium Battle Armor,(Hell's Horses) (Sqd5),Scout,15,221,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR5,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8602
Afreet Medium Battle Armor (Hell's Horses) (Sqd6),Afreet Medium Battle Armor,(Hell's Horses) (Sqd6),Scout,15,285,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR6,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8966
Afreet Medium Battle Armor (Interdictor) (Sqd4),Afreet Medium Battle Armor,(Interdictor) (Sqd4),Scout,15,189,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR4,FR,LECM,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,16
Afreet Medium Battle Armor (Interdictor) (Sqd5),Afreet Medium Battle Armor,(Interdictor) (Sqd5),Scout,15,255,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR5,FR,LECM,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8478
Afreet Medium Battle Armor (Interdictor) (Sqd6),Afreet Medium Battle Armor,(Interdictor) (Sqd6),Scout,15,327,BA,1,1,"8""j",2,0,0,0,1,2,"AM,CAR6,FR,LECM,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8843
Afreet Medium Battle Armor (Jade Falcon) (Sqd4),Afreet Medium Battle Armor,(Jade Falcon) (Sqd4),Scout,19,326,BA,1,1,"8""j",2,2,0,0,1,2,"AM,CAR4,FR,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,3678
Afreet Medium Battle Armor (Jade Falcon) (Sqd5),Afreet Medium Battle Armor,(Jade Falcon) (Sqd5),Scout,19,439,BA,1,1,"8""j",2,2,0,0,1,2,"AM,CAR5,FR,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8603
Afreet Medium Battle Armor (Jade Falcon) (Sqd6),Afreet Medium Battle Armor,(Jade Falcon) (Sqd6),Scout,19,565,BA,1,1,"8""j",2,2,0,0,1,2,"AM,CAR6,FR,MEC",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8967
Afreet Medium Battle Armor (Sqd4),Afreet Medium Battle Armor,(Sqd4),Scout,17,217,BA,1,1,"8""j",1,1,0,0,1,2,"AM,CAR4,MEC,RCN",https://i.ibb.co/MB2Sfzq/afreet-3075.png,3679
Afreet Medium Battle Armor (Sqd5),Afreet Medium Battle Armor,(Sqd5),Scout,17,292,BA,1,1,"8""j",1,1,0,0,1,2,"AM,CAR5,MEC,RCN",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8604
Afreet Medium Battle Armor (Sqd6),Afreet Medium Battle Armor,(Sqd6),Scout,18,376,BA,1,1,"8""j",2,1,0,0,1,2,"AM,CAR6,MEC,RCN",https://i.ibb.co/MB2Sfzq/afreet-3075.png,8968
Amazon Battle Armor [MRR] (Sqd4),Amazon Battle Armor,[MRR] (Sqd4),Ambusher,18,328,BA,1,1,"6""j",2,2,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,6428
Amazon Battle Armor [MRR] (Sqd5),Amazon Battle Armor,[MRR] (Sqd5),Ambusher,21,441,BA,1,1,"6""j",2,2,0,0,2,2,"AM,CAR5,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,8743
Amazon Battle Armor [MRR] (Sqd6),Amazon Battle Armor,[MRR] (Sqd6),Ambusher,21,566,BA,1,1,"6""j",2,2,0,0,2,2,"AM,CAR6,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,9106
Amazon Battle Armor [PPC] (Sqd4),Amazon Battle Armor,[PPC] (Sqd4),Ambusher,15,288,BA,1,1,"6""j",1,1,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,6429
Amazon Battle Armor [PPC] (Sqd5),Amazon Battle Armor,[PPC] (Sqd5),Ambusher,18,388,BA,1,1,"6""j",1,1,0,0,2,2,"AM,CAR5,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,8744
Amazon Battle Armor [PPC] (Sqd6),Amazon Battle Armor,[PPC] (Sqd6),Ambusher,18,498,BA,1,1,"6""j",1,1,0,0,2,2,"AM,CAR6,MEC",https://i.ibb.co/fHmTzX5/amazon-3145.png,9107
Angerona Scout Suit (Recon) (Sqd4),Angerona Scout Suit,(Recon) (Sqd4),Scout,17,170,BA,1,1,"6""f",1,0,0,0,1,2,"CAR4,LMAS,RCN,RSD1,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,31
Angerona Scout Suit (Recon) (Sqd5),Angerona Scout Suit,(Recon) (Sqd5),Scout,17,229,BA,1,1,"6""f",1,0,0,0,1,2,"CAR5,LMAS,RCN,RSD1,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,8479
Angerona Scout Suit (Recon) (Sqd6),Angerona Scout Suit,(Recon) (Sqd6),Scout,17,295,BA,1,1,"6""f",1,0,0,0,1,2,"CAR6,LMAS,RCN,RSD1,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,8844
Angerona Scout Suit (Sqd4),Angerona Scout Suit,(Sqd4),Ambusher,16,238,BA,1,1,"6""f",1,1,0,0,1,2,"AM,CAR4,LMAS,MEC,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,32
Angerona Scout Suit (Sqd5),Angerona Scout Suit,(Sqd5),Ambusher,16,320,BA,1,1,"6""f",1,1,0,0,1,2,"AM,CAR5,LMAS,MEC,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,8480
Angerona Scout Suit (Sqd6),Angerona Scout Suit,(Sqd6),Ambusher,17,411,BA,1,1,"6""f",2,1,0,0,1,2,"AM,CAR6,LMAS,MEC,STL",https://i.ibb.co/cJhSJ62/angerona-3085.png,8845
Asura Medium Battle Armor (Anti-Infantry) (Sqd4),Asura Medium Battle Armor,(Anti-Infantry) (Sqd4),Ambusher,14,200,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR4,LMAS,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,3743
Asura Medium Battle Armor (Anti-Infantry) (Sqd5),Asura Medium Battle Armor,(Anti-Infantry) (Sqd5),Ambusher,14,270,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR5,LMAS,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8606
Asura Medium Battle Armor (Anti-Infantry) (Sqd6),Asura Medium Battle Armor,(Anti-Infantry) (Sqd6),Ambusher,14,347,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR6,LMAS,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8970
Asura Medium Battle Armor (Sqd4),Asura Medium Battle Armor,(Sqd4),Ambusher,18,297,BA,1,1,"6""j",2,2,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,3745
Asura Medium Battle Armor (Sqd5),Asura Medium Battle Armor,(Sqd5),Ambusher,21,400,BA,1,1,"6""j",3,3,0,0,1,2,"AM,CAR5,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8608
Asura Medium Battle Armor (Sqd6),Asura Medium Battle Armor,(Sqd6),Ambusher,21,514,BA,1,1,"6""j",3,3,0,0,1,2,"AM,CAR6,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8972
Asura Medium Battle Armor (SRM) (Sqd4),Asura Medium Battle Armor,(SRM) (Sqd4),Ambusher,15,211,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,3744
Asura Medium Battle Armor (SRM) (Sqd5),Asura Medium Battle Armor,(SRM) (Sqd5),Ambusher,15,298,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR5,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8607
Asura Medium Battle Armor (SRM) (Sqd6),Asura Medium Battle Armor,(SRM) (Sqd6),Ambusher,15,383,BA,1,1,"6""j",2,0,0,0,1,2,"AM,CAR6,MEC",https://i.ibb.co/RbyqFcn/asura-3075.png,8971
Buraq Fast Battle Armor (Hunter-Killer) (Sqd4),Buraq Fast Battle Armor,(Hunter-Killer) (Sqd4),Scout,18,168,BA,1,1,"14""f",1,0,0,0,1,2,"CAR4,RCN,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,6234
Buraq Fast Battle Armor (Hunter-Killer) (Sqd5),Buraq Fast Battle Armor,(Hunter-Killer) (Sqd5),Scout,18,226,BA,1,1,"14""f",1,0,0,0,1,2,"CAR5,RCN,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,8723
Buraq Fast Battle Armor (Hunter-Killer) (Sqd6),Buraq Fast Battle Armor,(Hunter-Killer) (Sqd6),Scout,20,290,BA,1,1,"14""f",2,0,0,0,1,2,"CAR6,RCN,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,9086
Buraq Fast Battle Armor (Sqd4),Buraq Fast Battle Armor,(Sqd4),Scout,18,199,BA,1,1,"14""f",2,0,0,0,1,2,"CAR4,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,6233
Buraq Fast Battle Armor (Sqd5),Buraq Fast Battle Armor,(Sqd5),Scout,18,268,BA,1,1,"14""f",2,0,0,0,1,2,"CAR5,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,8722
Buraq Fast Battle Armor (Sqd6),Buraq Fast Battle Armor,(Sqd6),Scout,18,345,BA,1,1,"14""f",2,0,0,0,1,2,"CAR6,SRCH",https://i.ibb.co/5WWdkDy/buraq-3145.png,9085
Buraq Fast Battle Armor (Support) (Sqd4),Buraq Fast Battle Armor,(Support) (Sqd4),Scout,19,330,BA,1,1,"14""f",1,1,0,0,1,2,"CAR4,LTAG",https://i.ibb.co/5WWdkDy/buraq-3145.png,6235
Buraq Fast Battle Armor (Support) (Sqd5),Buraq Fast Battle Armor,(Support) (Sqd5),Scout,19,444,BA,1,1,"14""f",1,1,0,0,1,2,"CAR5,LTAG",https://i.ibb.co/5WWdkDy/buraq-3145.png,8724
Buraq Fast Battle Armor (Support) (Sqd6),Buraq Fast Battle Armor,(Support) (Sqd6),Scout,19,571,BA,1,1,"14""f",1,1,0,0,1,2,"CAR6,LTAG",https://i.ibb.co/5WWdkDy/buraq-3145.png,9087
Callisto Battle Armor A [Bearhunter] (Sqd4),Callisto Battle Armor,A [Bearhunter] (Sqd4),Ambusher,12,256,BA,1,1,"6""f",2,1,0,0,1,2,"AM,CAR4,MEC",https://i.ibb.co/PFk6DzS/callisto-battle-armor-rg.png,9437
Callisto Battle Armor A [Bearhunter] (Sqd5),Callisto Battle Armor,A [Bearhunter] (Sqd5),Ambusher,12,315,BA,1,1,"6""f",2,1,0,0,1,2,"AM,CAR5,MEC",https://i.ibb.co/PFk6DzS/callisto-battle-armor-rg.png,9438
