name,internal_name,display_name,lookup_names,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,cluster_damage,cluster_size,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost,is_lbx
"Rifle (Cannon, Light)",ISRifleLight,,"['Rifle (Cannon, Light)', 'ISRifleLight', 'Light Rifle', 'ISLightRifle']",4,8,12,18,0,0,3.0,0.0,0,1,3.0,1,AmmoType,AmmoWeapon,RifleWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISRifleLight.java,IS,21,37750,False
"Rifle (Cannon, Medium)",ISRifleMedium,,"['Rifle (Cannon, Medium)', 'ISRifleMedium', 'Medium Rifle', 'IS Medium Rifle', 'ISMediumRifle']",5,10,15,22,1,0,6.0,0.0,0,2,5.0,2,AmmoType,AmmoWeapon,RifleWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISRifleMedium.java,IS,51,75750,False
Rivet Gun,ISRivetGun,,"['Rivet Gun', 'ISRivetGun', 'ISRivet Gun']",1,1,1,1,0,0,0.0,0.0,0,0,0.5,1,AmmoType,AmmoWeapon,NailRivetGunWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISRivetGun.java,IS,1,7000,False
Ultra AC/10,ISUltraAC10,,"['Ultra AC/10', 'ISUltraAC10', 'IS Ultra AC/10']",6,12,18,24,0,0,10.0,0.0,0,4,13.0,7,AmmoType,AmmoWeapon,UACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISUAC10.java,IS,210,320000,False
Ultra AC/2,ISUltraAC2,,"['Ultra AC/2', 'ISUltraAC2', 'IS Ultra AC/2']",8,17,25,34,3,0,2.0,0.0,0,1,7.0,3,AmmoType,AmmoWeapon,UACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISUAC2.java,IS,56,120000,False
Ultra AC/20,ISUltraAC20,,"['Ultra AC/20', 'ISUltraAC20', 'IS Ultra AC/20']",3,7,10,14,0,0,20.0,0.0,0,8,15.0,10,AmmoType,AmmoWeapon,UACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISUAC20.java,IS,281,480000,False
Ultra AC/5,ISUltraAC5,,"['Ultra AC/5', 'ISUltraAC5', 'IS Ultra AC/5']",6,13,20,26,2,0,5.0,0.0,0,1,9.0,5,AmmoType,AmmoWeapon,UACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ISUAC5.java,IS,112,200000,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,AmmoWeapon,ACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\LACWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,1.0,0,0,0.0,0,AmmoType,Weapon,AmmoWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\LBXACWeapon.java,IS,0,0,True
,WeaponType,,['WeaponType'],1,1,1,1,0,0,0.0,0.0,0,0,0.5,1,AmmoType,Weapon,AmmoWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\NailRivetGunWeapon.java,IS,1,7000,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,AmmoWeapon,ACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\ProtoMekACWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,AmmoWeapon,UACWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\RACWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,Weapon,AmmoWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\RifleWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,Weapon,AmmoWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\autocannons\UACWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,MissileWeapon,SRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\AdvancedSRMWeapon.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\BAFlamerWeapon.java,IS,0,0,False
,BALBXHandler,,['BALBXHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\BALBXHandler.java,IS,0,0,False
,BAMGHandler,,['BAMGHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,,WeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\BAMGHandler.java,IS,0,0,False
,WeaponType,,['WeaponType'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\BAMGWeapon.java,IS,0,0,False
,BATaserHandler,,['BATaserHandler'],0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,,WeaponHandler,AmmoWeaponHandler,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\BATaserHandler.java,IS,0,0,False
Advanced SRM 1,CLAdvancedSRM1,,"['Advanced SRM 1', 'CLAdvancedSRM1', 'Clan Advanced SRM-1', 'Clan Advanced SRM 1']",4,8,12,16,0,1,1.0,0.0,0,0,0.0,2,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM1.java,IS,15,15000,False
Advanced SRM 1 (OS),CLAdvancedSRM1OS,,"['Advanced SRM 1 (OS)', 'CLAdvancedSRM1OS']",4,8,12,16,0,1,1.0,0.0,0,0,0.035,3,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM1OS.java,IS,3,7500,False
Advanced SRM 2,CLAdvancedSRM2,,"['Advanced SRM 2', 'CLAdvancedSRM2', 'Clan Advanced SRM-2', 'Clan Advanced SRM 2']",4,8,12,16,0,2,2.0,0.0,0,0,0.0,2,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM2.java,IS,30,30000,False
Advanced SRM 2 (OS),CLAdvancedSRM2OS,,"['Advanced SRM 2 (OS)', 'CLAdvancedSRM2OS']",4,8,12,16,0,2,2.0,0.0,0,0,0.0,3,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM2OS.java,IS,6,15000,False
Advanced SRM 3,CLAdvancedSRM3,,"['Advanced SRM 3', 'CLAdvancedSRM3', 'Clan Advanced SRM-3', 'Clan Advanced SRM 3']",4,8,12,16,0,3,3.0,0.0,0,0,0.0,3,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM3.java,IS,45,45000,False
Advanced SRM 3 (OS),CLAdvancedSRM3OS,,"['Advanced SRM 3 (OS)', 'CLAdvancedSRM3OS']",4,8,12,16,0,3,3.0,0.0,0,0,0.0,4,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM3OS.java,IS,9,22500,False
Advanced SRM 4,CLAdvancedSRM4,,"['Advanced SRM 4', 'CLAdvancedSRM4', 'Clan Advanced SRM-4', 'Clan Advanced SRM 4']",4,8,12,16,0,4,4.0,0.0,0,0,0.15,3,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM4.java,IS,60,60000,False
Advanced SRM 4 (OS),CLAdvancedSRM4OS,,"['Advanced SRM 4 (OS)', 'CLAdvancedSRM4OS']",4,8,12,16,0,4,4.0,0.0,0,0,0.135,4,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM4OS.java,IS,12,30000,False
Advanced SRM 5,CLAdvancedSRM5,,"['Advanced SRM 5', 'CLAdvancedSRM5', 'Clan Advanced SRM-5', 'Clan Advanced SRM 5']",4,8,12,16,0,5,5.0,0.0,0,0,0.18,4,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM5.java,IS,75,75000,False
Advanced SRM 5 (OS),CLAdvancedSRM5OS,,"['Advanced SRM 5 (OS)', 'CLAdvancedSRM5OS']",4,8,12,16,0,5,5.0,0.0,0,0,0.165,5,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM5OS.java,IS,15,37500,False
Advanced SRM 6,CLAdvancedSRM6,,"['Advanced SRM 6', 'CLAdvancedSRM6', 'Clan Advanced SRM-6', 'Clan Advanced SRM 6']",4,8,12,16,0,6,6.0,0.0,0,0,0.0,4,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM6.java,IS,90,90000,False
Advanced SRM 6 (OS),CLAdvancedSRM6OS,,"['Advanced SRM 6 (OS)', 'CLAdvancedSRM6OS']",4,8,12,16,0,6,6.0,0.0,0,0,0.0,5,AmmoType,SRMWeapon,AdvancedSRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLAdvancedSRM6OS.java,IS,18,45000,False
Gauss Rifle [Anti-personnel Gauss Rifle],CLBAAPGaussRifle,,"['Gauss Rifle [Anti-personnel Gauss Rifle]', 'CLBAAPGaussRifle']",3,6,9,12,0,0,3.0,0.0,0,1,0.2,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAAPGaussRifle.java,IS,21,10000,False
Narc (Compact),CLBACompactNarc,,"['Narc (Compact)', 'CLBACompactNarc', 'CLBACompact Narc', 'ISBACompactNarc', 'ISBACompact Narc']",2,4,5,8,0,0,0.0,0.0,0,0,0.0,1,AmmoType,MissileWeapon,NarcWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBACompactNarc.java,IS,16,15000,False
ER Medium Pulse Laser,BACLERMediumPulseLaser,,"['ER Medium Pulse Laser', 'BACLERMediumPulseLaser', 'CLBAERMediumPulseLaser', 'BA Clan ER Pulse Med Laser', 'BA Clan ER Medium Pulse Laser']",5,9,14,18,0,0,7.0,0.0,0,6,0.0,4,AmmoType,LaserWeapon,PulseLaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAERPulseLaserMedium.java,IS,117,150000,False
ER Small Pulse Laser,CLBAERSmallPulseLaser,,"['ER Small Pulse Laser', 'CLBAERSmallPulseLaser', 'Clan BA ER Pulse Small Laser', 'Clan BA ER Small Pulse Laser', 'Clan BA ERSmallPulseLaser']",2,4,6,8,0,0,5.0,0.0,0,3,0.0,2,AmmoType,LaserWeapon,PulseLaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAERPulseLaserSmall.java,IS,36,30000,False
Flamer [BA],CLBAFlamer,,"['Flamer [BA]', 'CLBAFlamer', 'Clan BA Flamer', 'ISBAFlamer']",1,2,3,4,0,0,2.0,0.0,0,3,0.15,1,AmmoType,Weapon,BAFlamerWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAFlamer.java,IS,5,7500,False
Heavy Flamer [BA],CLBAHeavyFlamer,,"['Heavy Flamer [BA]', 'CLBAHeavyFlamer', 'ISBAHeavyFlamer', 'IS BA Heavy Flamer']",2,3,4,6,0,0,4.0,0.0,0,5,0.0,1,AmmoType,Weapon,BAFlamerWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAFlamerHeavy.java,IS,15,11250,False
Grenade Launcher (Heavy),CLBAHeavyGrenadeLauncher,,"['Grenade Launcher (Heavy)', 'CLBAHeavyGrenadeLauncher', 'CLBAHeavyGL', 'Heavy BA Grenade Launcher', 'ISBAHeavyGrenadeLauncher', 'BA Heavy Grenade Launcher', 'ISBAAutoGL', 'ISBAHeavyGL', 'ISBAGrenadeLauncher', 'IS BA Grenade Launcher']",1,2,3,4,0,0,1.0,0.0,0,0,0.1,1,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAGrenadeLauncherHeavy.java,IS,1,4500,False
ER Medium Laser,CLBAERMediumLaser,,"['ER Medium Laser', 'CLBAERMediumLaser', 'Clan BA ER Medium Laser']",5,10,15,20,0,0,7.0,0.0,0,5,0.0,3,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserERMedium.java,IS,108,80000,False
ER Micro Laser,CLBAERMicroLaser,,"['ER Micro Laser', 'CLBAERMicroLaser', 'Clan BA ER Micro Laser']",1,2,4,4,0,0,2.0,0.0,0,1,0.15,1,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserERMicro.java,IS,7,10000,False
ER Small Laser,CLBAERSmallLaser,,"['ER Small Laser', 'CLBAERSmallLaser', 'Clan BA ER Small Laser']",2,4,6,8,0,0,5.0,0.0,0,2,0.35,2,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserERSmall.java,IS,31,11250,False
Heavy Medium Laser,CLBAHeavyMediumLaser,,"['Heavy Medium Laser', 'CLBAHeavyMediumLaser', 'Clan BA Medium Heavy Laser']",3,6,9,12,0,0,10.0,0.0,0,7,1.0,4,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserHeavyMedium.java,IS,76,100000,False
Heavy Small Laser,CLBAHeavySmallLaser,,"['Heavy Small Laser', 'CLBAHeavySmallLaser', 'Clan BA Small Heavy Laser']",1,2,3,4,0,0,6.0,0.0,0,3,0.5,3,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserHeavySmall.java,IS,15,20000,False
Small Laser,CLBASmall Laser,,"['Small Laser', 'CLBASmall Laser', 'CL BA Small Laser', 'CLBASmallLaser']",1,2,3,4,0,0,3.0,0.0,0,1,0.2,1,AmmoType,EnergyWeapon,LaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALaserSmall.java,IS,9,11250,False
Battle Armor LB-X AC,CLBALBX,,"['Battle Armor LB-X AC', 'CLBALBX', 'Clan BA LBX']",2,5,8,10,0,0,4.0,1.0,4,0,0.4,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALBX.java,IS,20,70000,False
TAG (Light),CLBALightTAG,,"['TAG (Light)', 'CLBALightTAG', 'Clan BA Light TAG', 'ISBALightTAG', 'IS BA Light TAG']",3,6,9,12,0,0,0.0,0.0,0,0,0.035,1,AmmoType,Weapon,TAGWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALightTAG.java,IS,0,40000,False
LRM 1,CLBALRM1,,"['LRM 1', 'CLBALRM1']",7,14,21,28,0,1,1.0,0.0,0,0,0.035,2,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM1.java,IS,17,6000,False
LRM 1 (OS),CLBALRM1OS,,"['LRM 1 (OS)', 'CLBALRM1OS']",7,14,21,28,0,1,1.0,0.0,0,0,0.025,2,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM1OS.java,IS,3,3000,False
LRM 2,CLBALRM2,,"['LRM 2', 'CLBALRM2']",7,14,21,28,0,2,2.0,0.0,0,0,0.07,2,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM2.java,IS,24,12000,False
LRM 2 (OS),CLBALRM2OS,,"['LRM 2 (OS)', 'CLBALRM2OS']",7,14,21,28,0,2,2.0,0.0,0,0,0.05,2,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM2OS.java,IS,5,6000,False
LRM 3,CLBALRM3,,"['LRM 3', 'CLBALRM3']",7,14,21,28,0,3,3.0,0.0,0,0,0.105,3,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM3.java,IS,35,18000,False
LRM 3 (OS),CLBALRM3OS,,"['LRM 3 (OS)', 'CLBALRM3OS']",7,14,21,28,0,3,3.0,0.0,0,0,0.075,3,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM3OS.java,IS,7,9000,False
LRM 4,CLBALRM4,,"['LRM 4', 'CLBALRM4']",7,14,21,28,0,4,4.0,0.0,0,0,0.14,3,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM4.java,IS,46,24000,False
LRM 4 (OS),CLBALRM4OS,,"['LRM 4 (OS)', 'CLBALRM4OS']",7,14,21,28,0,4,4.0,0.0,0,0,0.1,3,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM4OS.java,IS,9,12000,False
LRM 5,CLBALRM5,,"['LRM 5', 'CLBALRM5', 'Clan BA LRM-5', 'Clan BA LRM 5']",7,14,21,28,0,5,5.0,0.0,0,2,0.0,4,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM5.java,IS,0,30000,False
LRM 5 (OS),CLBALRM5 (OS),,"['LRM 5 (OS)', 'CLBALRM5 (OS)', 'CLBALRM5OS']",7,14,21,28,0,5,5.0,0.0,0,2,0.0,3,AmmoType,MissileWeapon,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBALRM5OS.java,IS,11,15000,False
Machine Gun (Medium),CLBAMG,,"['Machine Gun (Medium)', 'CLBAMG', 'Clan BA Machine Gun', 'ISBAMG', 'IS BA Machine Gun', 'ISBAMachine Gun', 'ISBAMachineGun']",1,2,3,4,0,0,2.0,0.0,0,0,0.1,1,AmmoType,Weapon,BAMGWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMG.java,IS,5,5000,False
Machine Gun (Bearhunter AC),CLBAMGBearhunterSuperheavy,,"['Machine Gun (Bearhunter AC)', 'CLBAMGBearhunterSuperheavy', 'CLBearhunter Superheavy AC', 'Autocannon (Bearhunter Superheavy)']",0,1,2,2,0,0,3.0,0.0,0,0,0.15,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMGBearhunterSuperheavy.java,IS,4,0,False
Machine Gun (Bearhunter ACi),CLBAMGBearhunterSuperheavyACi,,"['Machine Gun (Bearhunter ACi)', 'CLBAMGBearhunterSuperheavyACi', 'CLBearhunter Superheavy ACi', 'CLBearhunterSuperheavyACi']",0,1,2,2,0,0,5.0,0.0,0,0,0.15,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMGBearhunterSuperheavyACi.java,IS,9,0,False
Machine Gun (Heavy),CLBAHeavyMG,,"['Machine Gun (Heavy)', 'CLBAHeavyMG', 'Clan BA Heavy Machine Gun', 'ISBAHeavyMachineGun', 'IS BA Heavy Machine Gun', 'ISBAHeavyMG']",1,2,2,2,0,0,3.0,0.0,0,0,0.15,1,AmmoType,Weapon,BAMGWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMGHeavy.java,IS,6,7500,False
Machine Gun (Light),CLBALightMG,,"['Machine Gun (Light)', 'CLBALightMG', 'Clan BA Light Machine Gun', 'ISBALightMachineGun', 'IS BA Light Machine Gun', 'ISBALightMG']",2,4,6,8,0,0,1.0,0.0,0,0,0.075,1,AmmoType,Weapon,BAMGWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMGLight.java,IS,5,5000,False
Bomb Rack (Micro),CLBAMicroBomb,,"['Bomb Rack (Micro)', 'CLBAMicroBomb', 'CLBAMicro Bomb']",0,0,0,0,0,0,0.0,0.0,0,0,0.0,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMicroBomb.java,IS,11,30000,False
Mortar (Heavy),CLBAMortarHeavy,,"['Mortar (Heavy)', 'CLBAMortarHeavy', 'CL BA Heavy Mortar', 'ISBAHeavyMortar', 'IS BA Heavy Mortar']",2,4,6,8,2,0,3.0,0.0,0,0,0.4,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMortarHeavy.java,IS,17,7500,False
Mortar (Light),CLBAMortarLight,,"['Mortar (Light)', 'CLBAMortarLight', 'CL BA Light Mortar', 'ISBALightMortar', 'IS BA Light Mortar']",1,2,3,4,1,0,3.0,0.0,0,0,0.3,2,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAMortarLight.java,IS,9,2100,False
Medium Pulse Laser,CLBAMediumPulseLaser,,"['Medium Pulse Laser', 'CLBAMediumPulseLaser', 'Clan BA Pulse Med Laser', 'Clan BA Medium Pulse Laser']",4,8,12,16,0,0,7.0,0.0,0,4,0.0,3,AmmoType,LaserWeapon,PulseLaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAPulseLaserMedium.java,IS,111,60000,False
Micro Pulse Laser,CLBAMicroPulseLaser,,"['Micro Pulse Laser', 'CLBAMicroPulseLaser', 'Clan BA Micro Pulse Laser']",1,2,3,4,0,0,3.0,0.0,0,1,0.16,1,AmmoType,LaserWeapon,PulseLaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAPulseLaserMicro.java,IS,12,12500,False
Small Pulse Laser,CLBASmallPulseLaser,,"['Small Pulse Laser', 'CLBASmallPulseLaser', 'Clan BA Pulse Small Laser', 'Clan BA Small Pulse Laser']",2,4,6,8,0,0,3.0,0.0,0,2,0.0,1,AmmoType,LaserWeapon,PulseLaserWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBAPulseLaserSmall.java,IS,24,16000,False
BA Recoilless Rifle (Heavy),CLBAHeavy Recoilless Rifle,,"['BA Recoilless Rifle (Heavy)', 'CLBAHeavy Recoilless Rifle', 'CLBAHeavyRecoillessRifle', 'ISBAHeavyRecoillessRifle', 'ISHeavy Recoilless Rifle', 'ISBAHeavy Recoilless Rifle']",3,5,7,10,0,0,3.0,0.0,0,0,0.325,3,AmmoType,WeaponType,Weapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\battlearmor\CLBARecoillessRifleHeavy.java,IS,22,5000,False
