name,internal_name,display_name,short_range,medium_range,long_range,extreme_range,minimum_range,rack_size,damage,heat,tonnage,criticals,ammo_type,weapon_class,parent_class,file_path,tech_base,bv,cost
Streak LRM 2 (OS),CLStreakLRM2OS,Clan Streak LRM-2 (OS),7,14,21,28,0,2,2.0,0,1.3,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM2OS.java,CLAN,34,30000
Streak LRM 3,CLStreakLRM3,Clan Streak LRM-3,7,14,21,28,0,3,3.0,0,1.2,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM3.java,CLAN,51,45000
Streak LRM 3 (OS),CLStreakLRM3OS,Clan Streak LRM-3 (OS),7,14,21,28,0,3,3.0,0,1.7,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM3OS.java,CLAN,51,45000
Streak LRM 4,CLStreakLRM4,Clan Streak LRM-4,7,14,21,28,0,4,4.0,0,1.6,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM4.java,CLAN,68,60000
Streak LRM 4 (OS),CLStreakLRM4OS,Clan Streak LRM-4 (OS),7,14,21,28,0,4,4.0,0,2.1,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM4OS.java,CLAN,68,60000
Streak LRM 5,CLStreakLRM5,Clan Streak LRM-5,7,14,21,28,0,5,5.0,2,2.0,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM5.java,CLAN,86,75000
Streak LRM 5 (I-OS),CLIOSStreakLRM5,Clan Streak LRM-5 (IOS),7,14,21,28,0,5,5.0,2,1.5,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM5IOS.java,CLAN,17,60000
Streak LRM 5 (OS),CLOSStreakLRM5,Clan Streak LRM-5 (OS),7,14,21,28,0,5,5.0,2,2.5,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM5OS.java,CLAN,17,37500
Streak LRM 6,CLStreakLRM6,Clan Streak LRM-6,7,14,21,28,0,6,6.0,0,2.4,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM6.java,CLAN,103,90000
Streak LRM 6 (OS),CLStreakLRM6OS,Clan Streak LRM-6 (OS),7,14,21,28,0,6,6.0,0,2.9,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM6OS.java,CLAN,103,90000
Streak LRM 7,CLStreakLRM7,Clan Streak LRM-7,7,14,21,28,0,7,7.0,0,2.8,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM7.java,CLAN,120,105000
Streak LRM 7 (OS),CLStreakLRM7OS,Clan Streak LRM-7 (OS),7,14,21,28,0,7,7.0,0,3.0,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM7OS.java,CLAN,120,105000
Streak LRM 8,CLStreakLRM8,Clan Streak LRM-8,7,14,21,28,0,8,8.0,0,3.2,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM8.java,CLAN,137,120000
Streak LRM 8 (OS),CLStreakLRM8OS,Clan Streak LRM-8 (OS),7,14,21,28,0,8,8.0,0,3.7,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM8OS.java,CLAN,137,120000
Streak LRM 9,CLStreakLRM9,Clan Streak LRM-9,7,14,21,28,0,9,9.0,0,3.6,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM9.java,CLAN,155,135000
Streak LRM 9 (OS),CLStreakLRM9OS,Clan Streak LRM-9 (OS),7,14,21,28,0,9,9.0,0,4.1,1,T_LRM_STREAK,,StreakLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\CLStreakLRM9OS.java,CLAN,155,135000
,,,7,14,21,28,0,0,0.0,0,0.0,0,T_NLRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\EnhancedLRMWeapon.java,CLAN,0,0
,,,12,22,38,44,10,0,0.0,0,0.0,0,T_EXLRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ExtendedLRMWeapon.java,CLAN,0,0
Enhanced LRM 10,,ISEnhancedLRM10,7,14,21,28,3,10,10.0,4,6.0,4,T_NLRM,,EnhancedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISEnhancedLRM10.java,IS,104,125000
Enhanced LRM 15,,ISEnhancedLRM15,7,14,21,28,3,15,15.0,5,9.0,6,T_NLRM,,EnhancedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISEnhancedLRM15.java,IS,157,218750
Enhanced LRM 20,,ISEnhancedLRM20,7,14,21,28,3,20,20.0,6,12.0,9,T_NLRM,,EnhancedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISEnhancedLRM20.java,IS,268,312500
Enhanced LRM 5,,ISEnhancedLRM5,7,14,21,28,3,5,5.0,2,3.0,2,T_NLRM,,EnhancedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISEnhancedLRM5.java,IS,52,37500
Extended LRM 10,,IS Extended LRM-10,12,22,38,44,10,10,10.0,6,8.0,4,T_EXLRM,,ExtendedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISExtendedLRM10.java,IS,133,200000
Extended LRM 15,,IS Extended LRM-15,12,22,38,44,10,15,15.0,8,12.0,6,T_EXLRM,,ExtendedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISExtendedLRM15.java,IS,200,350000
Extended LRM 20,,IS Extended LRM-20,12,22,38,44,10,20,20.0,10,18.0,8,T_EXLRM,,ExtendedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISExtendedLRM20.java,IS,268,500000
Extended LRM 5,,IS Extended LRM-5,12,22,38,44,10,5,5.0,3,6.0,1,T_EXLRM,,ExtendedLRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISExtendedLRM5.java,IS,67,60000
LRM 10,,IS LRM-10,7,14,21,28,6,10,10.0,4,5.0,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM10.java,CLAN,90,100000
LRM 10 (I-OS),,IS IOS LRM-10,7,14,21,28,6,10,10.0,4,4.5,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM10IOS.java,IS,18,80000
LRM 10 (OS),,IS OS LRM-10,7,14,21,28,6,10,10.0,4,5.5,2,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM10OS.java,CLAN,18,50000
LRM 15,,IS LRM-15,7,14,21,28,6,15,15.0,5,7.0,3,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM15.java,CLAN,136,175000
LRM 15 (I-OS),,IS IOS LRM-15,7,14,21,28,6,15,15.0,5,6.5,3,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM15IOS.java,IS,27,140000
LRM 15 (OS),,IS OS LRM-15,7,14,21,28,6,15,15.0,5,7.5,3,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM15OS.java,CLAN,27,87500
LRM 20,,IS LRM-20,7,14,21,28,6,20,20.0,6,10.0,5,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM20.java,CLAN,181,250000
LRM 20 (I-OS),,IS IOS LRM-20,7,14,21,28,6,20,20.0,6,9.5,5,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM20IOS.java,IS,36,200000
LRM 20 (OS),,IS OS LRM-20,7,14,21,28,6,20,20.0,6,10.5,5,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM20OS.java,CLAN,36,125000
LRM 5,,IS LRM-5,7,14,21,28,6,5,5.0,2,2.0,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM5.java,CLAN,45,30000
LRM 5 (I-OS),,IS IOS LRM-5,7,14,21,28,6,5,5.0,2,1.5,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM5IOS.java,IS,9,24000
LRM 5 (OS),,IS OS LRM-5,7,14,21,28,6,5,5.0,2,2.5,1,T_LRM,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRM5OS.java,CLAN,9,15000
LRT 10,,IS LRT-10,0,0,0,0,6,10,10.0,4,5.0,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT10.java,IS,90,100000
LRT 10 (I-OS),,IS IOS LRT-10,0,0,0,0,6,10,10.0,4,4.5,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT10IOS.java,IS,18,80000
LRT 10 (OS),,IS OS LRT-10,0,0,0,0,6,10,10.0,4,5.5,2,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT10OS.java,IS,18,50000
LRT 15,,IS LRT-15,0,0,0,0,6,15,15.0,5,7.0,3,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT15.java,IS,136,175000
LRT 15 (I-OS),,IS IOS LRT-15,0,0,0,0,6,15,15.0,5,6.5,3,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT15IOS.java,IS,27,140000
LRT 15 (OS),,IS OS LRT-15,0,0,0,0,6,15,15.0,5,7.5,3,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT15OS.java,IS,27,87500
LRT 20,,IS LRT-20,0,0,0,0,6,20,20.0,6,10.0,5,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT20.java,IS,181,250000
LRT 20 (I-OS),,IS IOS LRT-20,0,0,0,0,6,20,20.0,6,9.5,5,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT20IOS.java,IS,36,200000
LRT 20 (OS),,IS OS LRT-20,0,0,0,0,6,20,20.0,6,10.5,5,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT20OS.java,IS,36,125000
LRT 5,,IS LRT-5,0,0,0,0,6,5,5.0,2,2.0,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT5.java,IS,45,30000
LRT 5 (I-OS),,IS IOS LRT-5,0,0,0,0,6,5,5.0,2,1.5,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT5IOS.java,IS,9,24000
LRT 5 (OS),,IS OS LRT-5,0,0,0,0,6,5,5.0,2,2.5,1,T_LRM_TORPEDO,,LRTWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\ISLRT5OS.java,IS,9,15000
,,,7,14,21,28,0,0,0.0,0,0.0,0,T_LRM,,MissileWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\LRMWeapon.java,CLAN,0,0
,,,0,0,0,0,0,0,0.0,0,0.0,0,T_LRM_TORPEDO,,MissileWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\LRTWeapon.java,CLAN,0,0
,,,7,14,21,28,0,0,0.0,0,0.0,0,T_LRM_STREAK,,LRMWeapon,D:\Games\Downloads\mekhq-windows-0.49.19.1\MMSource\megamek-master\megamek\src\megamek\common\weapons\lrms\StreakLRMWeapon.java,CLAN,0,0
