UnitType,Name,FullName,Common,Class,Model,Role,PV,BV,Type,Size,Tonnage,ASMove,Short,Medium,Long,Overheat,CBTMove,Armor,ArmorIcons,Structure,StructureIcons,TMM,RegSkill,VetSkill,RegPV,VetPV,Specials,TUR,AMS,ECM2,ECM6,PRB,IF,APC,CAR,ART,STL,MHQ,,,,,SpecialRules,ImageURL,MULId,Weapons,WepName1,Shots1,Dam1,Range1,WepName2,Shots2,Dam2,Range2,WepName3,Shots3,Dam3,Range3,WepName4,Shots4,Dam4,Range4,WepName5,Shots5,Dam5,Range5,WepName6,Shots6,Dam6,Range6,WepName7,Shots7,Dam7,Range7,CombDam1,CombDam2,CombDam3,CombDam4,CombDam5,CombDam6,CombDam7,,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Vehicle,Flatbed Truck (SRM),Flatbed Truck (SRM),,Flatbed Truck,(SRM),Scout,4,67,CV,1,10,"10""w",0,0,0,0,5W,0,,1,S,+2,6,5,4,5,"CT4,EE,SRCH",,,,,,,,,,,,,,,,,https://i.ibb.co/2dmrptQ/cyrano-3050u.png,786,"LB 20-X AC (Slug) - 1x20 @ 4/8/12
-- OR -- - x @ 
LB 20-X AC (Pellet) - 20x1 @ 4/8/12
LB 10-X AC (Slug) - 1x10 @ 6/12/18
-- OR -- - x @ 
LB 10-X AC (Pellet) - 10x1 @ 6/12/18",LB 20-X AC (Slug),1,20,4/8/12,-- OR --,,,,LB 20-X AC (Pellet),20,1,4/8/12,LB 10-X AC (Slug),1,10,6/12/18,-- OR --,,,,LB 10-X AC (Pellet),10,1,6/12/18,,,,,1x20,,20x1,1x10,,10x1,,,Star League Royal,"Capellan Confederation, HW Clan General, Star League in Exile",HW Clan General,HW Clan General,"HW Clan General, IS Clan General","HW Clan General, IS Clan General","Escorpión Imperio, HW Clan General, IS Clan General, Society","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Raven Alliance","Clan Hell's Horses, Clan Jade Falcon, Escorpión Imperio, Raven Alliance","Clan Hell's Horses, Escorpión Imperio, Raven Alliance, Scorpion Empire","Clan Hell's Horses, Raven Alliance, Scorpion Empire"
Vehicle,Fortune Wheeled Assault Vehicle,Fortune Wheeled Assault Vehicle,,Fortune Wheeled Assault Vehicle,,Juggernaut,27,1349,CV,4,80,"6""w",3,3,0,0,3W,7,AAAAAAA,4,SSSS,+1,6,5,27,32,"FLK3/3/-,SRCH,TUR(3/3/-,FLK3/3/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/2dmrptQ/cyrano-3050u.png,7329,"Flamer - 1x2 @ 1/2/3
Streak SRM 6 - 4x2 @ 3/6/9
Thunderbolt 15 - 2x15 @ 6/12/18",Flamer,1,2,1/2/3,Streak SRM 6,4,2,3/6/9,Thunderbolt 15,2,15,6/12/18,,,,,,,,,,,,,,,,,1x2,4x2,2x15,,,,,,"Rim Worlds Republic - Terran Corps, Star League Royal",Star League in Exile,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Vehicle,Fortune Wheeled Assault Vehicle (C3M),Fortune Wheeled Assault Vehicle (C3M),,Fortune Wheeled Assault Vehicle,(C3M),Juggernaut,32,1178,CV,4,80,"6""w",2,2,1,0,3W,7,AAAAAAA,4,SSSS,+1,6,5,32,38,"C3M,CASE,FLK2/2/1,MHQ5,SRCH,TAG,TUR(2/2/1,FLK2/2/1)",TUR,,,,,,,,,,HQ,,,,,"TUR, HQ",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9341,"ER Medium Laser - 1x5 @ 4/8/12
Small Pulse Laser - 2x3 @ 1/2/3",ER Medium Laser,1,5,4/8/12,Small Pulse Laser,2,3,1/2/3,,,,,,,,,,,,,,,,,,,,,1x5,2x3,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Sea Fox, Clan Wolf, Lyran Commonwealth, Marian Hegemony","Clan Protectorate, Clan Sea Fox, Free Worlds League, Lyran Commonwealth, Marian Hegemony, Wolf Empire"
Vehicle,Fortune Wheeled Assault Vehicle (Thunderbolt),Fortune Wheeled Assault Vehicle (Thunderbolt),,Fortune Wheeled Assault Vehicle,(Thunderbolt),Missile Boat,38,1402,CV,4,80,"6""w",4,5,3,0,3W,7,AAAAAAA,4,SSSS,+1,6,5,38,46,"CASE,IF3,SRCH,TUR(3/5/3,IF3)",TUR,,,,,IF3,,,,,,,,,,"TUR, IF3",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1175,"ER Medium Laser - 1x5 @ 4/8/12
Small Pulse Laser - 1x3 @ 1/2/3
Flamer - 1x2 @ 1/2/3",ER Medium Laser,1,5,4/8/12,Small Pulse Laser,1,3,1/2/3,Flamer,1,2,1/2/3,,,,,,,,,,,,,,,,,1x5,1x3,1x2,,,,,,"Inner Sphere General, Mercenary, Periphery General, Star League General","Clan Goliath Scorpion, Clan Hell's Horses, Clan Ice Hellion, Clan Jade Falcon, ComStar, Inner Sphere General, Mercenary, Periphery General, Star League in Exile","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","ComStar, Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Escorpión Imperio, Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Capellan Confederation, Escorpión Imperio, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Mercenary, Periphery General, Republic of the Sphere","Capellan Confederation, Escorpión Imperio, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Mercenary, Periphery General, Republic of the Sphere","Capellan Confederation, Escorpión Imperio, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Mercenary, Periphery General, Republic of the Sphere, Scorpion Empire","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Lyran Commonwealth, Mercenary, Periphery General, Scorpion Empire, Tamar Pact"
Vehicle,Fox Armored Car,Fox Armored Car,,Fox Armored Car,,Scout,23,549,CV,1,20,"28""h",2,1,0,0,14H,3,AAA,1,S,+4,6,5,23,28,"ENE,SRCH,TUR(2/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1176,"ER Medium Laser - 1x5 @ 4/8/12
Machine Gun - 2x2 @ 1/2/3",ER Medium Laser,1,5,4/8/12,Machine Gun,2,2,1/2/3,,,,,,,,,,,,,,,,,,,,,1x5,2x2,,,,,,,Unknown,Unknown,Unknown,Free Worlds League,"Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Clan Protectorate, Inner Sphere General, Mercenary, Periphery General"
Vehicle,Fox Armored Car (Flamer),Fox Armored Car (Flamer),,Fox Armored Car,(Flamer),Scout,23,530,CV,1,20,"28""h",2,1,0,0,14H,3,AAA,1,S,+4,6,5,23,28,"ENE,SRCH,TUR(2/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1177,"ER Medium Laser - 1x5 @ 4/8/12
Small VSP Laser - 1x4 @ 2/4/6",ER Medium Laser,1,5,4/8/12,Small VSP Laser,1,4,2/4/6,,,,,,,,,,,,,,,,,,,,,1x5,1x4,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Word of Blake,Word of Blake,Extinct,Extinct,Extinct,Extinct
Vehicle,Fox Armored Car (Interdictor),Fox Armored Car (Interdictor),,Fox Armored Car,(Interdictor),Scout,24,547,CV,1,20,"28""h",1,1,0,0,14H,3,AAA,1,S,+4,6,5,24,29,"ECM,SRCH",,,,ECM,,,,,,,,,,,,ECM,https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1178,"Large Laser - 1x8 @ 5/10/15
Medium Laser - 1x5 @ 3/6/9
LRM 10 - 1x5 @ 7/14/21",Large Laser,1,8,5/10/15,Medium Laser,1,5,3/6/9,LRM 10,1,5,7/14/21,,,,,,,,,,,,,,,,,1x8,1x5,1x5,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Word of Blake,Word of Blake,Extinct,Extinct,Extinct,Extinct
Vehicle,Fox Armored Car (VSP),Fox Armored Car (VSP),,Fox Armored Car,(VSP),Scout,23,543,CV,1,20,"28""h",2,1,0,0,14H,3,AAA,1,S,+4,6,5,23,28,"ENE,SRCH,TUR(2/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,8041,"Magshot Gauss Rifle - 3x2 @ 3/6/9
Medium Pulse Laser - 2x7 @ 4/8/12",Magshot Gauss Rifle,3,2,3/6/9,Medium Pulse Laser,2,7,4/8/12,,,,,,,,,,,,,,,,,,,,,3x2,2x7,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Free Worlds League,Free Worlds League
Vehicle,Fulcrum Heavy Hover Tank (Hybrid),Fulcrum Heavy Hover Tank (Hybrid),,Fulcrum Heavy Hover Tank,(Hybrid),Striker,49,1543,CV,2,50,"20""h",3,3,0,0,10H,5,AAAAA,3,SSS,+4,6,5,49,59,"AECM,ARS,RCA,SRCH,TUR(2/2/-)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9336,"Snub-Nose PPC - 1x8 @ 9/13/15
MML 7 - 1x5 @ 3/14/21",Snub-Nose PPC,1,8,9/13/15,MML 7,1,5,3/14/21,,,,,,,,,,,,,,,,,,,,,1x8,1x5,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary","Inner Sphere General, Marian Hegemony, Mercenary","Inner Sphere General, Marian Hegemony, Mercenary"
Vehicle,Fulcrum Heavy Hovertank,Fulcrum Heavy Hovertank,,Fulcrum Heavy Hovertank,,Striker,42,1167,CV,2,50,"20""h",2,2,1,0,10H,5,AAAAA,3,SSS,+4,6,5,42,50,"ECM,IF1,SRCH,TAG,TUR(2/2/1,IF1)",TUR,,,ECM,,IF1,,,,,,,,,,"TUR, ECM, IF1",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9337,"LRM 10 - 1x5 @ 7/14/21
Medium Laser - 3x5 @ 3/6/9
SRM 6 - 4x2 @ 3/6/9",LRM 10,1,5,7/14/21,Medium Laser,3,5,3/6/9,SRM 6,4,2,3/6/9,,,,,,,,,,,,,,,,,1x5,3x5,4x2,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Marian Hegemony, Mercenary","Free Worlds League, Free Worlds League (Duchy of Andurien), Marian Hegemony, Mercenary"
Vehicle,Fulcrum Heavy Hovertank II,Fulcrum Heavy Hovertank II,,Fulcrum Heavy Hovertank,II,Striker,48,1248,CV,2,50,"20""h",3,3,1,0,10H,5,AAAAA,3,SSS,+4,6,5,48,58,"ECM,IF1,SRCH,TAG,TUR(3/3/1,IF1)",TUR,,,ECM,,IF1,,,,,,,,,,"TUR, ECM, IF1",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1179,"Magshot Gauss Rifle - 2x2 @ 3/6/9
Medium Pulse Laser - 2x7 @ 4/8/12",Magshot Gauss Rifle,2,2,3/6/9,Medium Pulse Laser,2,7,4/8/12,,,,,,,,,,,,,,,,,,,,,2x2,2x7,,,,,,,Unknown,Unknown,"Draconis Combine, Lyran Commonwealth, Magistracy of Canopus","Draconis Combine, Free Rasalhague Republic, Lyran Commonwealth, Magistracy of Canopus","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Mercenary, Periphery General, Republic of the Sphere","Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Mercenary, Periphery General, Republic of the Sphere","Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General, Republic of the Sphere","Free Worlds League, Free Worlds League (Duchy of Andurien), Mercenary, Periphery General"
Vehicle,Fulcrum Heavy Hovertank III,Fulcrum Heavy Hovertank III,,Fulcrum Heavy Hovertank,III,Striker,48,1185,CV,2,50,"20""h",2,2,0,0,10H,6,AAAAAA,3,SSS,+4,6,5,48,58,"C3S,ECM,IF0*,MHQ1,SRCH,TAG,TUR(2/2/0*,IF0*)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1180,Gauss Rifle - 1x15 @ 7/15/22,Gauss Rifle,1,15,7/15/22,,,,,,,,,,,,,,,,,,,,,,,,,1x15,,,,,,,,Unknown,"Periphery General, Star League in Exile",Periphery General,Periphery General,Periphery General,Periphery General,Periphery General,Periphery General,Extinct,Extinct,Extinct
Vehicle,Fulcrum Heavy Hovertank X,Fulcrum Heavy Hovertank X,,Fulcrum Heavy Hovertank,X,Striker,43,1686,CV,2,50,"26""h",2,2,0,0,13H,5,AAAAA,3,SSS,+4,6,5,43,52,"AECM,ARS,RCA,SRCH,TUR(2/2/-)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9338,"Plasma Rifle - 1x10 @ 5/10/15
Rotary AC/5 - 6x5 @ 5/10/15",Plasma Rifle,1,10,5/10/15,Rotary AC/5,6,5,5/10/15,,,,,,,,,,,,,,,,,,,,,1x10,6x5,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Periphery General,Periphery General,Periphery General,Periphery General
Vehicle,Fury Command Tank,Fury Command Tank,,Fury Command Tank,,Sniper,29,1184,CV,4,80,"8""t",2,2,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,29,35,"IT1,SRCH,TUR(2/2/2)",TUR,,,,,,IT1,,,,,,,,,"TUR, IT1",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9339,"Light AC/5 - 1x5 @ 5/10/15
Gauss Rifle - 1x15 @ 7/15/22",Light AC/5,1,5,5/10/15,Gauss Rifle,1,15,7/15/22,,,,,,,,,,,,,,,,,,,,,1x5,1x15,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Mercenary","Capellan Confederation, Mercenary"
Vehicle,Fury Command Tank (C3M),Fury Command Tank (C3M),,Fury Command Tank,(C3M),Brawler,37,1336,CV,4,80,"8""t",3,3,0,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,37,44,"C3M,IT4,MHQ5,SRCH,TAG,TUR(3/3/-)",TUR,,,,,,IT4,,,,HQ,,,,,"TUR, IT4, HQ",https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,9340,"Medium Laser - 1x5 @ 3/6/9
Gauss Rifle - 1x15 @ 7/15/22",Medium Laser,1,5,3/6/9,Gauss Rifle,1,15,7/15/22,,,,,,,,,,,,,,,,,,,,,1x5,1x15,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Republic of the Sphere,"Mercenary, Republic of the Sphere",Mercenary
Vehicle,Fury Command Tank (C3S),Fury Command Tank (C3S),,Fury Command Tank,(C3S),Sniper,34,1413,CV,4,80,"8""t",2,2,2,0,4T,9,AAAAAAAAA,4,SSSS,+1,6,5,34,41,"C3S,MHQ1,SRCH,TUR(2/2/2)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/g48dwnJ/galleon-light-tank-rg.png,1181,"ER Medium Laser - 2x5 @ 4/8/12
Gauss Rifle - 1x15 @ 7/15/22
Rotary AC/5 - 6x5 @ 7/14/21",ER Medium Laser,2,5,4/8/12,Gauss Rifle,1,15,7/15/22,Rotary AC/5,6,5,7/14/21,,,,,,,,,,,,,,,,,2x5,1x15,6x5,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League, Unique",Extinct,Extinct,Extinct,Extinct
Vehicle,Fury Command Tank (Fury II),Fury Command Tank (Fury II),,Fury Command Tank,(Fury II),Sniper,29,1234,CV,4,80,"8""t",2,2,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,29,35,"SRCH,TUR(1/2/2)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/8NwQsWW/garrot-3150.png,6539,"ER Medium Laser - 1x5 @ 4/8/12
Gauss Rifle - 1x15 @ 7/15/22
Rotary AC/5 - 6x5 @ 7/14/21",ER Medium Laser,1,5,4/8/12,Gauss Rifle,1,15,7/15/22,Rotary AC/5,6,5,7/14/21,,,,,,,,,,,,,,,,,1x5,1x15,6x5,,,,,,,,,,,,,,,,
Vehicle,Fury Command Tank (Fury III),Fury Command Tank (Fury III),,Fury Command Tank,(Fury III),Sniper,46,1827,CV,4,80,"8""t",5,5,4,0,4T,7,AAAAAAA,4,SSSS,+1,6,5,46,55,"C3BSS,CASE,MHQ2,PRB,RCN,SRCH,TUR(4/4/4)",TUR,,,,PRB,,,,,,,,,,,"TUR, PRB",https://i.ibb.co/rdTHWmw/hephaestus-3067.png,4313,Gauss Rifle - 1x15 @ 7/15/22,Gauss Rifle,1,15,7/15/22,,,,,,,,,,,,,,,,,,,,,,,,,1x15,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Star Adder","Clan Burrock, Clan Hell's Horses, Clan Star Adder, Clan Stone Lion",Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
Vehicle,Fury Command Tank (Fury IIIm),Fury Command Tank (Fury IIIm),,Fury Command Tank,(Fury IIIm),Sniper,43,1720,CV,4,80,"8""t",4,4,4,0,4T,7,AAAAAAA,4,SSSS,+1,6,5,42,50,"C3BSM,CASE,MHQ6,SRCH,TAG,TUR(4/4/4)",TUR,,,,,,,,,,HQ,,,,,"TUR, HQ",https://i.ibb.co/rdTHWmw/hephaestus-3067.png,4314,Gauss Rifle - 1x15 @ 7/15/22,Gauss Rifle,1,15,7/15/22,,,,,,,,,,,,,,,,,,,,,,,,,1x15,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Star Adder","Clan Burrock, Clan Hell's Horses, Clan Star Adder, Clan Stone Lion",Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
Vehicle,Fury Command Tank (Original),Fury Command Tank (Original),,Fury Command Tank,(Original),Sniper,29,1184,CV,4,80,"8""t",2,2,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,29,35,"IT1,SRCH,TUR(2/2/2)",TUR,,,,,,IT1,,,,,,,,,"TUR, IT1",https://i.ibb.co/rdTHWmw/hephaestus-3067.png,4315,"LB 5-X AC (Slug) - 2x5 @ 7/14/21
-- OR -- - x @ 
LB 5-X AC (Pellet) - 10x1 @ 7/14/21",LB 5-X AC (Slug),2,5,7/14/21,-- OR --,,,,LB 5-X AC (Pellet),10,1,7/14/21,,,,,,,,,,,,,,,,,2x5,,10x1,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Star Adder","Clan Burrock, Clan Hell's Horses, Clan Star Adder, Clan Stone Lion",Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
Vehicle,Fury Command Tank (Royal),Fury Command Tank (Royal),,Fury Command Tank,(Royal),Sniper,30,1255,CV,4,80,"8""t",2,2,2,0,4T,8,AAAAAAAA,4,SSSS,+1,6,5,30,36,"AMS,SRCH,TUR(2/2/2,AMS)",TUR,AMS,,,,,,,,,,,,,,"TUR, AMS",https://i.ibb.co/rdTHWmw/hephaestus-3067.png,5726,Medium Laser - 1x5 @ 3/6/9,Medium Laser,1,5,3/6/9,,,,,,,,,,,,,,,,,,,,,,,,,1x5,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
Vehicle,Fury Command Tank CX-17,Fury Command Tank CX-17,,Fury Command Tank,CX-17,Sniper,32,0,CV,4,80,"8""t",1,1,1,0,4T,7,AAAAAAA,4,SSSS,+1,6,5,32,38,"AECM,DCC5,FLK1/1/1,MHQ3,RCA,SRCH,TUR(1/1/1,FLK1/1/1)",TUR,,,ECM,,,,,,,,,,,,"TUR, ECM",https://i.ibb.co/rdTHWmw/hephaestus-3067.png,4316,ER Small Laser - 2x3 @ 2/4/5,ER Small Laser,2,3,2/4/5,,,,,,,,,,,,,,,,,,,,,,,,,2x3,,,,,,,,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Hell's Horses, Clan Star Adder","Clan Burrock, Clan Hell's Horses, Clan Star Adder, Clan Stone Lion",Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses,Clan Hell's Horses
Vehicle,Gabriel Reconnaissance Hovercraft,Gabriel Reconnaissance Hovercraft,,Gabriel Reconnaissance Hovercraft,,Scout,15,198,CV,1,5,"26""h",1,1,0,0,13H,1,A,1,S,+4,6,5,15,18,"ENE,SRCH,TUR(1/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/jHCg9B2/hipparch-hrw.png,4324,Rocket Launcher 10 - 3x5 @ 5/10/15,Rocket Launcher 10,3,5,5/10/15,,,,,,,,,,,,,,,,,,,,,,,,,3x5,,,,,,,,,,,,,,,,,,
Vehicle,Gabriel Reconnaissance Hovercraft (ERSL),Gabriel Reconnaissance Hovercraft (ERSL),,Gabriel Reconnaissance Hovercraft,(ERSL),Scout,15,162,CV,1,5,"26""h",1,1,0,0,13H,1,A,1,S,+4,6,5,15,18,"ENE,SRCH,TUR(1/1/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/YjJ3tCm/ignis-3075.png,1605,"LRM 10 - 1x5 @ 7/14/21
AC/10 - 1x10 @ 5/10/15
Machine Gun - 4x2 @ 1/2/3
SRM 2 - 2x2 @ 3/6/9",LRM 10,1,5,7/14/21,AC/10,1,10,5/10/15,Machine Gun,4,2,1/2/3,SRM 2,2,2,3/6/9,,,,,,,,,,,,,1x5,1x10,4x2,2x2,,,,,,,,,,,,,,,
Vehicle,Gabriel Reconnaissance Hovercraft (TDF),Gabriel Reconnaissance Hovercraft (TDF),,Gabriel Reconnaissance Hovercraft,(TDF),Scout,12,168,CV,1,5,"26""h",0,0,0,0,13H,1,A,1,S,+4,6,5,12,14,"ENE,SRCH,TUR(0*/0*/0*)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/YjJ3tCm/ignis-3075.png,1604,"Medium Chemical Laser - 2x5 @ 3/6/9
Large Chemical Laser - 1x8 @ 5/10/15",Medium Chemical Laser,2,5,3/6/9,Large Chemical Laser,1,8,5/10/15,,,,,,,,,,,,,,,,,,,,,2x5,1x8,,,,,,,Rim Worlds Republic - Terran Corps,Inner Sphere General,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
Vehicle,Gallant Urban Assault Tank,Gallant Urban Assault Tank,,Gallant Urban Assault Tank,,Juggernaut,31,1056,CV,3,70,"6""w",3,2,1,0,3W,9,AAAAAAAAA,4,SSSS,+1,6,5,31,37,"AC1/1/-,CASE,EE,IF1,SRCH,TUR(2/2/-,AC1/1/-)",TUR,,,,,IF1,,,,,,,,,,"TUR, IF1",https://i.ibb.co/w0GJvrG/karnov-ur-transport-rg.png,1753,"Small Laser - 2x3 @ 1/2/3
Medium Laser - 1x5 @ 3/6/9",Small Laser,2,3,1/2/3,Medium Laser,1,5,3/6/9,,,,,,,,,,,,,,,,,,,,,2x3,1x5,,,,,,,,,,,,,,,,,
Vehicle,Galleon Light Tank C,Galleon Light Tank C,,Galleon Light Tank,C,Striker,19,633,CV,1,30,"12""t",2,2,0,0,6T,3,AAA,2,SS,+2,5,4,23,27,"CASE,FC,SRCH,TUR(2/2/-)",TUR,,,,,,,,,,,,,,,TUR,https://i.ibb.co/w0GJvrG/karnov-ur-transport-rg.png,1754,"Medium Pulse Laser - 1x6 @ 2/4/6
Medium Laser - 2x5 @ 3/6/9",Medium Pulse Laser,1,6,2/4/6,Medium Laser,2,5,3/6/9,,,,,,,,,,,,,,,,,,,,,1x6,2x5,,,,,,,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Periphery General, Wolf's Dragoons","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance","Inner Sphere General, Mercenary, Periphery General, Raven Alliance"
