Name,Class,Model,Role,PV,BV,Type,Size,Tonnage,Move,Short,Medium,Long,Overheat,Armor,Structure,Specials,ImageURL,MULId,Star League (2571 - 2780),Early Succession War (2781 - 2900),Late Succession War - LosTech (2901 - 3019),Late Succession War - Renaissance (3020 - 3049),Clan Invasion (3050 - 3061),Civil War (3062 - 3067),Jihad (3068 - 3085),Early Republic (3086 - 3100),Late Republic (3101 - 3130),Dark Ages (3131 - 3150),ilClan (3151 - 9999)
Cavalry Attack Helicopter  ,Cavalry Attack Helicopter, ,Striker,26,503,CV,1,25,"20""v",2,2,0,0,2,2,"ATMO,EE,SRCH,SRM1/1",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,506,,,,,,,,,,,
Cavalry Attack Helicopter (BA),Cavalry Attack Helicopter,(BA),Striker,29,604,CV,1,25,"20""v",2,2,0,0,3,2,"ATMO,IT4,SRCH",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,9465,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
Cavalry Attack Helicopter (Infantry),Cavalry Attack Helicopter,(Infantry),Striker,30,605,CV,1,25,"20""v",3,2,0,0,3,2,"ATMO,IT3.5,SRCH",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,503,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary"
Cavalry Attack Helicopter (Infiltrator),Cavalry Attack Helicopter,(Infiltrator),Scout,21,446,CV,1,25,"26""v",0,0,0,0,2,2,"ATMO,ECM,IT4,SRCH,STL,TUR(0*/0*/-)",https://i.ibb.co/kx8vPzV/cavalry-proto.png,3909,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Federated Suns,Federated Suns,Federated Suns,Federated Suns
Cavalry Attack Helicopter (LRM),Cavalry Attack Helicopter,(LRM),Missile Boat,22,487,CV,1,25,"20""v",1,1,1,0,2,2,"ATMO,EE,IF1,SRCH",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,504,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
Cavalry Attack Helicopter (SRM),Cavalry Attack Helicopter,(SRM),Striker,23,509,CV,1,25,"20""v",2,2,0,0,1,2,"ATMO,EE,SRCH,SRM2/2",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,505,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Filtvelt Coalition, Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
Cavalry Attack Helicopter (TAG),Cavalry Attack Helicopter,(TAG),Missile Boat,25,495,CV,1,25,"20""v",0,1,1,0,3,2,"ATMO,EE,IF1,SRCH,TAG",https://i.ibb.co/5RnjX9R/cavalry-3058u.png,507,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary"
Cavalry Attack Helicopter Cadence Rain,Cavalry Attack Helicopter,Cadence Rain,Scout,24,568,CV,1,25,"26""v",1,1,0,0,2,2,"ATMO,ECM,IT4,SRCH,STL",https://i.ibb.co/kx8vPzV/cavalry-proto.png,508,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Federated Suns, Unique","Federated Suns, Unique",Extinct,Extinct,Extinct
Desert Scorpion Light Tank  ,Desert Scorpion Light Tank, ,Brawler,17,554,CV,1,25,"10""t",2,1,0,0,4,2,"CASE,SRCH,TUR(1/1/-)",https://i.ibb.co/Lnk5Gb5/scorpion-light-tank-rg.png,8078,,,,,,,,,,,
DI Multipurpose Light VTOL  ,DI Multipurpose Light VTOL, ,Scout,27,542,CV,1,25,"18""v",0,1,1,0,4,2,"ATMO,ENE,IT4,PRB,RCN,SRCH,TAG,TUR(0*/1/1)",https://i.ibb.co/10wrYD8/di-multipurpose-light-vtol-3150.png,6595,,,,,,,,,,,
DI Multipurpose Light VTOL (Gunship),DI Multipurpose Light VTOL,(Gunship),Striker,30,711,CV,1,25,"18""v",2,2,1,0,4,2,"ATMO,IF0*,SRCH,TUR(0*/1/1)",https://i.ibb.co/10wrYD8/di-multipurpose-light-vtol-3150.png,6596,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General","Inner Sphere General, IS Clan General, Mercenary, Periphery General"
Gossamer VTOL  ,Gossamer VTOL, ,Striker,32,1091,CV,1,25,"22""v",3,3,0,0,2,2,"ATMO,ENE,SRCH",https://i.ibb.co/VVBvckW/gossamer-3145.png,6537,,,,,,,,,,,
Gossamer VTOL (XL),Gossamer VTOL,(XL),Scout,21,663,CV,1,25,"22""v",1,1,1,0,2,2,"ATMO,CASE,FLK1/1/1,SRCH",https://i.ibb.co/VVBvckW/gossamer-3145.png,6538,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Clan Nova Cat, Clan Sea Fox, Raven Alliance","Clan Nova Cat, Clan Sea Fox, Raven Alliance","Clan Sea Fox, Raven Alliance"
Harasser Laser Platform  ,Harasser Laser Platform, ,Scout,16,321,CV,1,25,"20""h",1,1,0,0,1,2,"EE,ENE,SRCH,TUR(1/1/-)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1385,,,,,,,,,,,
Harasser Missile Platform  ,Harasser Missile Platform, ,Striker,22,413,CV,1,25,"20""h",2,2,0,0,1,2,"EE,SRCH,SRM2/2,TUR(2/2/-,SRM2/2)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1390,,,,,,,,,,,
"Harasser Missile Platform ""Leaping Lisa""",Harasser Missile Platform,"""Leaping Lisa""",Striker,23,354,CV,1,25,"20""h/14""j",2,2,0,0,1,2,"EE,JMPW1,SRCH,SRM1/1,TUR(2/2/-,SRM1/1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1386,Unknown,Unique,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
"Harasser Missile Platform ""Mini-Peggy""",Harasser Missile Platform,"""Mini-Peggy""",Striker,24,351,CV,1,25,"20""h",2,2,0,0,1,2,"EE,RCN,RSD1,SRCH,SRM1/1,TUR(2/2/-,SRM1/1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1387,Unknown,Unknown,Unknown,"Free Rasalhague Republic, Free Worlds League","Capellan Confederation, ComStar, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance, Lyran Commonwealth","Capellan Confederation, ComStar, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance","Capellan Confederation, ComStar, Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Regulan Fiefs), Lyran Commonwealth","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Regulan Fiefs), Lyran Commonwealth",Extinct,Extinct
Harasser Missile Platform (Flamer),Harasser Missile Platform,(Flamer),Striker,22,365,CV,1,25,"20""h",2,2,0,0,1,2,"EE,SRCH,SRM1/1,TUR(2/2/-,SRM1/1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1388,Unknown,"Capellan Confederation, Free Worlds League","Capellan Confederation, Free Worlds League","Capellan Confederation, Free Worlds League","Capellan Confederation, ComStar, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance, Lyran Commonwealth","Capellan Confederation, ComStar, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance","Capellan Confederation, ComStar, Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance","Capellan Confederation, Draconis Combine, Federated Suns, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Rasalhague Dominion","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Regulan Fiefs), Lyran Commonwealth",Extinct,Extinct
Harasser Missile Platform (Fuel Cell),Harasser Missile Platform,(Fuel Cell),Striker,24,477,CV,1,25,"20""h",2,2,1,0,1,2,"FC,IF1,RFA,SRCH,SRM2/1,TUR(2/2/1,IF1,SRM2/1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,5785,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,Extinct,Extinct,Extinct
Harasser Missile Platform (Heavy Ferro),Harasser Missile Platform,(Heavy Ferro),Striker,23,519,CV,1,25,"24""h",2,2,0,0,1,2,"FC,SRCH,SRM2/2,TUR(2/2/-,SRM2/2)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,9550,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Magistracy of Canopus, Mercenary, Republic of the Sphere","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Lyran Commonwealth, Magistracy of Canopus, Mercenary, Republic of the Sphere, Taurian Concordat","Capellan Confederation, Clan Protectorate, Free Worlds League, Free Worlds League (Duchy of Andurien), Kell Hounds, Lyran Commonwealth, Mercenary, Periphery General, Tamar Pact, Vesper Marches, Wolf Empire"
Harasser Missile Platform (iNarc),Harasser Missile Platform,(iNarc),Striker,15,375,CV,1,25,"24""h",0,0,0,0,1,2,"FC,INARC,SRCH,TUR(0*/0*/-,INARC)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,9551,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Oriente Protectorate), Republic of the Sphere","Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Republic of the Sphere","Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Republic of the Sphere","Free Worlds League, Star League (Clan Wolf)"
Harasser Missile Platform (LFE),Harasser Missile Platform,(LFE),Striker,27,765,CV,1,25,"36""h",2,2,0,0,1,2,"ENE,SRCH,TUR(2/2/-)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,9552,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality)","Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Lyran Commonwealth, Magistracy of Canopus, Mercenary, Republic of the Sphere","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Lyran Commonwealth, Magistracy of Canopus, Mercenary, Republic of the Sphere, Taurian Concordat, Wolf's Dragoons","Capellan Confederation, Clan Protectorate, Free Worlds League, Free Worlds League (Duchy of Andurien), Kell Hounds, Lyran Commonwealth, Magistracy of Canopus, Star League (Clan Wolf), Tamar Pact, Taurian Concordat, Vesper Marches, Wolf Empire, Wolf's Dragoons"
Harasser Missile Platform (LRM),Harasser Missile Platform,(LRM),Missile Boat,18,412,CV,1,25,"20""h",0,1,1,0,1,2,"EE,IF1,SRCH,TUR(0*/1/1,IF1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,1389,Unknown,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,Free Worlds League,"Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs)","Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs)","Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs)","Free Worlds League, Free Worlds League (Duchy of Andurien)"
Harasser Missile Platform (Marian),Harasser Missile Platform,(Marian),Striker,23,487,CV,1,25,"20""h",2,2,0,0,1,2,"FC,SRCH,TAG,TUR(2/2/-, TAG)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,9553,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Marian Hegemony,Marian Hegemony,Marian Hegemony
Harasser Missile Platform (MML),Harasser Missile Platform,(MML),Striker,20,427,CV,1,25,"24""h",2,1,1,0,1,2,"FC,IF1,SRCH,TUR(2/1/1, IF1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,6751,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Lyran Commonwealth, Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Lyran Commonwealth, Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Fronc Reaches, Lyran Commonwealth, Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Clan Protectorate, Free Worlds League, Free Worlds League (Duchy of Andurien), Fronc Reaches, Lyran Commonwealth, Magistracy of Canopus, Marian Hegemony, Mercenary, Tamar Pact, Vesper Marches"
Harasser Missile Platform (Speed),Harasser Missile Platform,(Speed),Striker,23,509,CV,1,25,"24""h",2,2,0,0,1,2,"FC,SRCH,SRM2/2,TUR(2/2/-,SRM2/2)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,9549,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Free Worlds League,"Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Republic of the Sphere","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Republic of the Sphere","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Kell Hounds, Lyran Commonwealth, Magistracy of Canopus, Mercenary, Republic of the Sphere, Taurian Concordat, Wolf's Dragoons","Capellan Confederation, Clan Protectorate, Free Worlds League, Kell Hounds, Lyran Commonwealth, Mercenary, Periphery General, Tamar Pact, Vesper Marches, Wolf Empire"
Harasser Missile Platform (Thunderbolt),Harasser Missile Platform,(Thunderbolt),Sniper,19,541,CV,1,25,"24""h",1,1,1,0,1,2,"FC,IF1,SRCH,TUR(1/1/1, IF1)",https://i.ibb.co/Rz7wwyj/harrasser-missile-platform-rg.png,6752,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Free Worlds League, Free Worlds League (Duchy of Andurien), Free Worlds League (Duchy of Tamarind-Abbey), Free Worlds League (Marik-Stewart Commonwealth), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Oriente Protectorate), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Magistracy of Canopus, Marian Hegemony, Mercenary","Capellan Confederation, Clan Protectorate, Free Worlds League, Free Worlds League (Duchy of Andurien), Magistracy of Canopus, Marian Hegemony, Mercenary"
Hawk Moth Gunship  ,Hawk Moth Gunship, ,Sniper,15,492,CV,1,25,"16""v",1,1,1,0,1,2,"ATMO,EE,SRCH",https://i.ibb.co/smkqH99/hawk-moth-3060.png,1427,,,,,,,,,,,
"Hawk Moth Gunship ""Verwandlung""",Hawk Moth Gunship,"""Verwandlung""",Striker,19,749,CV,1,25,"16""v",2,2,0,0,1,2,"ATMO,FC,SRCH,TUR(2/2/-)",https://i.ibb.co/smkqH99/hawk-moth-3060.png,5786,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unique,Extinct,Extinct,Extinct
Hawk Moth Gunship (Armor),Hawk Moth Gunship,(Armor),Sniper,15,501,CV,1,25,"16""v",1,1,1,0,1,2,"ATMO,EE,SRCH",https://i.ibb.co/smkqH99/hawk-moth-3060.png,1426,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Mercenary, Wolf's Dragoons","Inner Sphere General, Kell Hounds, Mercenary, Wolf's Dragoons",Inner Sphere General,Inner Sphere General,Inner Sphere General,Inner Sphere General
Hawk Moth Gunship (Thunderbolt),Hawk Moth Gunship,(Thunderbolt),Missile Boat,24,745,CV,1,25,"16""v",1,2,2,0,2,2,"ATMO,FC,IF1,SRCH",https://i.ibb.co/smkqH99/hawk-moth-3060.png,1428,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Word of Blake,"Free Worlds League (Marik-Stewart Commonwealth), Republic of the Sphere","Free Worlds League (Marik-Stewart Commonwealth), Republic of the Sphere","Free Worlds League, Free Worlds League (Marik-Stewart Commonwealth), Republic of the Sphere",Free Worlds League
Hawk Moth II Gunship  ,Hawk Moth II Gunship, ,Striker,35,928,CV,1,25,"22""v",3,3,0,0,3,2,"ATMO,SRCH,SRM1/1,TUR(1/1/-)",https://i.ibb.co/s10rHLc/hawk-moth-ii-3085.png,6653,,,,,,,,,,,
Hawk Moth II Gunship (MML),Hawk Moth II Gunship,(MML),Striker,32,851,CV,1,25,"22""v",3,2,1,0,3,2,"ATMO,IF1,SRCH,TUR(1/1/-)",https://i.ibb.co/s10rHLc/hawk-moth-ii-3085.png,6697,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary, Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
Hawk Moth II Gunship (Sniper),Hawk Moth II Gunship,(Sniper),Sniper,22,490,CV,1,25,"28""v",0,0,0,0,3,2,"ATMO,SRCH,TUR(0*/0*/0*)",https://i.ibb.co/s10rHLc/hawk-moth-ii-3085.png,6698,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary","Inner Sphere General, Mercenary","Inner Sphere General, Mercenary, Star League (Clan Smoke Jaguar), Star League (Clan Wolf)"
J. Edgar Light Hover Tank  ,J. Edgar Light Hover Tank, ,Scout,23,544,CV,1,25,"22""h",1,1,0,0,3,2,"SRCH,TUR(1/1/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,1641,,,,,,,,,,,
J. Edgar Light Hover Tank (Cell),J. Edgar Light Hover Tank,(Cell),Scout,20,398,CV,1,25,"22""h",1,0,0,0,3,2,"FC,SRCH,TUR(1/0*/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,5774,Unknown,Unknown,Draconis Combine,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct,Extinct
J. Edgar Light Hover Tank (Chemical),J. Edgar Light Hover Tank,(Chemical),Scout,32,570,CV,1,25,"22""h",2,2,0,0,4,2,"FC,SRCH,TUR(2/2/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,9473,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Draconis Combine, Republic of the Sphere","Draconis Combine, Republic of the Sphere","Draconis Combine, Republic of the Sphere",Draconis Combine
J. Edgar Light Hover Tank (Flamer),J. Edgar Light Hover Tank,(Flamer),Scout,23,459,CV,1,25,"22""h",1,1,0,0,3,2,"SRCH,TUR(1/1/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,1637,Unknown,"Inner Sphere General, Mercenary, Taurian Concordat","Inner Sphere General, Taurian Concordat","Inner Sphere General, Taurian Concordat","Inner Sphere General, Taurian Concordat","Inner Sphere General, Mercenary, Taurian Concordat","Fronc Reaches, Inner Sphere General, Mercenary, Taurian Concordat","Fronc Reaches, Inner Sphere General, Mercenary, Taurian Concordat","Draconis Combine, Mercenary, Periphery General","Draconis Combine, Mercenary, Periphery General","Draconis Combine, Mercenary, Periphery General"
J. Edgar Light Hover Tank (ICE),J. Edgar Light Hover Tank,(ICE),Scout,20,433,CV,1,25,"16""h",1,1,0,0,3,2,"EE,SRCH,TUR(1/1/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,1638,Unknown,"Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General","Capellan Confederation, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance, Lyran Commonwealth, Mercenary, Periphery General","Capellan Confederation, Draconis Combine, Federated Commonwealth, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance, Mercenary, Periphery General","Capellan Confederation, Draconis Combine, Federated Suns, Free Rasalhague Republic, Free Worlds League, Lyran Alliance, Mercenary, Periphery General","Capellan Confederation, Free Worlds League (Duchy of Andurien), Free Worlds League (Non-Aligned Worlds), Free Worlds League (Regulan Fiefs), Free Worlds League (Rim Commonality), Mercenary, Periphery General","Mercenary, Periphery General","Mercenary, Periphery General","Mercenary, Periphery General"
J. Edgar Light Hover Tank (Kurita),J. Edgar Light Hover Tank,(Kurita),Scout,35,696,CV,1,25,"22""h",2,2,0,0,4,2,"C3S,ENE,MHQ1,SRCH,TUR(2/2/-)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,1639,Unknown,Unknown,Unknown,Unknown,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine,Draconis Combine
J. Edgar Light Hover Tank (LAC),J. Edgar Light Hover Tank,(LAC),Scout,20,532,CV,1,25,"16""h",1,1,0,0,3,2,"EE,SRCH,TUR(1/1/0*)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,9474,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Marian Hegemony,"Marian Hegemony, Mercenary, Pirates","Marian Hegemony, Mercenary, Pirates","Marian Hegemony, Mercenary, Pirates","Marian Hegemony, Mercenary, Pirates"
J. Edgar Light Hover Tank (Light PPC),J. Edgar Light Hover Tank,(Light PPC),Scout,27,626,CV,1,25,"22""h",1,1,1,0,4,2,"ENE,SRCH,TUR(1/1/1)",https://i.ibb.co/4dCLFth/j-edgar-light-hover-tank-rg.png,9475,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Inner Sphere General, Mercenary","Inner Sphere General, Magistracy of Canopus, Mercenary, Taurian Concordat","Inner Sphere General, Mercenary, Periphery General","Inner Sphere General, Mercenary, Periphery General"
